sequence,module,level,type,identifier,name,datatype,multiplicity,value_domain,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
1,btx,1,C,,Business Transactions,,1..*,,"Economic event represented by one or more business documents and corresponding accounting entries, such as orders, shipments, invoices, and journal entries.",【ビジネス取引】,XBRL GLのルート要素。 注文、出荷、請求書およびそれに対応する仕訳など、1つまたは複数の業務文書と会計仕訳によって表現される経済事象。,BT10,$.btx_BusinessTransactions,btx,Business Transactions,businessTransactions,/xbrli:xbrl/gl-btx:businessTransactions
2,cor,2,C,,Document Information,,1..1,,Parent for descriptive information about the Transaction Entries Class in which it is contained.,【文書情報】,この取引文書に関する情報の親タグ。,BT10-01,$.btx_BusinessTransactions.btx_DocumentInformation,cor,Document Information,documentInformation,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation
3,cor,3,A,,Document Type,Token,1..1,Accounting_Data_Type,"account: information to fill in a chart of accounts file.
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period.
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] classs to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] class, these ""master file"" tax tables can be referenced.
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.
master_file: a collection of master files, such as the customer or inventory master file.
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",文書種別,・科目:科目体系ファイルの情報。_x000D_ ・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。_x000D_ ・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。_x000D_ ・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。_x000D_ ・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。_x000D_ ・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。_x000D_ ・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。_x000D_ ・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。_x000D_ ・マッピング情報:互いに関係があるデータセットの間の対応関係を集めたもの。例えば、企業グループ内の各会社で使用する勘定科目と全社勘定科目との対応付け、または明細データと最終的な報告書上の要約された科目への対応付け。 ・差分情報:同じクラス（種類）で異なるバージョンを持つ項目の変更・差分情報。例えば、勘定科目一覧のようなマスタファイルの特定科目の更新情報など。  ・マスターファイル:マスタファイルの一覧。例えば、顧客マスタ又は在庫/棚卸マスタなど。  ・取引伝票:取引に用いる情報の集合。例えば、納入業者からのインボイス 又は顧客からの受注情報など。  ・プロファイル情報:確立された文書説明情報及び特にXBRL GLプロファイルを理解し決定するこの情報の集合の意味を示す。説明情報は、名前空間宣言、スキーマ参照及びこれらの規約を通して決定する。  ・その他：その他のすべての表現形式  多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。_x000D_ [設定値のリスト]_x000D_ (account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)_x000D_、(Mapping：マッピング情報)、(versioning：差分情報)、(master_file：マスターファイル)、(trade_documents：取引伝票)、(profile_compliant：プロファイル情報)、(other：その他),CO10-01,$.btx_BusinessTransactions.btx_DocumentInformation.cor_DocumentType,cor,Document Information,documentType,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:documentType
4,cor,3,A,PK,Audit Number,String,0..1,,Unique identifier for this file.,監査番号,このファイルの一意識別子。,CO10-02,$.btx_BusinessTransactions.btx_DocumentInformation.cor_AuditNumber,cor,Document Information,auditNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:auditNumber
5,cor,3,A,,Revises Audit Number,String,0..1,,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。,CO10-03,$.btx_BusinessTransactions.btx_DocumentInformation.cor_RevisesAuditNumber,cor,Document Information,revisesAuditNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:revisesAuditNumber
6,cor,3,A,,Action to Take with Previous Data,Token,0..1,Revision_Action,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。_x000D_
補完-元々含まれていたかのように、そのデータに所属させる。_x000D_
[設定値のリスト]_x000D_
(supplement：補完)、(supersede：取替え)",CO10-04,$.btx_BusinessTransactions.btx_DocumentInformation.cor_ActiontoTakewithPreviousData,cor,Document Information,actionToTakeWithPreviousData,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:actionToTakeWithPreviousData
7,cor,3,A,,Language,QName,0..1,,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。,CO10-05,$.btx_BusinessTransactions.btx_DocumentInformation.cor_Language,cor,Document Information,language,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:language
8,cor,3,A,,Creation Date,Date Time,0..1,,Date/time file was created.,作成日付,ファイルが作成された日付/時間。,CO10-06,$.btx_BusinessTransactions.btx_DocumentInformation.cor_CreationDate,cor,Document Information,creationDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:creationDate
9,cor,3,A,,Creator,String,0..1,,Identifies the creator of the XBRL instance.,作成者,ファイルの作成者の識別子。,CO10-07,$.btx_BusinessTransactions.btx_DocumentInformation.cor_Creator,cor,Document Information,creator,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:creator
10,cor,3,A,,Document Comment,String,0..1,,Text for entire document.,文書コメント,文書全体に対する説明文。,CO10-08,$.btx_BusinessTransactions.btx_DocumentInformation.cor_DocumentComment,cor,Document Information,documentComment,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:documentComment
