sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local
1,1,Abstract Class,,btx,Amount Structure,,,,,,0..*,Structure combining a monetary amount with its currency and currency role information.,【金額構造】,金額と、その通貨および通貨の役割に関する情報を組み合わせて表現する構造。
2,2,Attribute,,btx,Amount Structure,Amount,,Monetary,,,1,Numeric value of the monetary amount expressed in the specified currency.,金額,指定された通貨で表現された金額の数値。
3,2,Attribute,,btx,Amount Structure,Amount Type,,Token,,,0..1,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。
4,2,Attribute,,btx,Amount Structure,Currency Code,,Token,,,0..1,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。
5,2,Attribute,,btx,Amount Structure,Currency Code Type,,Token,,,0..1,"Code specifying the role of the currency used for the amount, such as functional currency, local currency, reporting currency, or transaction currency.",通貨コード種別,金額に対する通貨の役割（機能通貨、ローカル通貨、報告通貨、取引通貨など）を指定するコード。
6,1,Class,,btx,Header_ Amount Structure,,,,,,0..*,"Structure representing monetary amounts and currency information applicable to the document as a whole, such as document-level totals or aggregated tax amounts.",【ヘッダー金額構造】,文書全体に適用される金額や通貨情報（文書レベルの合計額や集計された税額など）を表現する構造。
7,2,Specialisation,,btx,Header_ Amount Structure,,,,btx,Amount Structure,1,,,
8,2,Attribute,,btx,Header_ Amount Structure,Header_ Amount Type,,String,,,0..1,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。
9,1,Class,,btx,Detail_ Amount Structure,,,,,,0..*,"Structure representing monetary amounts and currency information applicable to an individual line, such as line-level net amounts, tax calculation bases, allowances, or charges.",【行金額構造】,個々の明細行に適用される金額や通貨情報（行レベルの正味金額、税計算基礎額、値引または追加請求など）を表現する構造。
10,2,Specialisation,,btx,Detail_ Amount Structure,,,,btx,Amount Structure,1,,,
11,2,Attribute,,btx,Detail_ Amount Structure,Detail_ Amount Type,,String,,,0..1,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。
12,1,Class,,btx,Header_ Identifier_ Contact,,,,,,0..*,Identifier Contact Information Class,【CVE担当者情報】,CVE識別子の担当者情報の構造体。
13,2,Specialisation,,btx,Header_ Identifier_ Contact,,,,cor,Identifier_ Contact,1,,,
14,2,Composition,,btx,Header_ Identifier_ Contact,,,,bus,Contact_ Phone,0,Contact Phone Number,【担当者電話番号】,担当者の電話番号。
15,2,Composition,,btx,Header_ Identifier_ Contact,,,,bus,Contact_ Fax,0,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。
16,2,Composition,,btx,Header_ Identifier_ Contact,,,,bus,Contact_ Email,0,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。
17,1,Class,,btx,Detail_ Identifier_ Contact,,,,,,0..*,Identifier Contact Information Class,【CVE担当者情報】,CVE識別子の担当者情報の構造体。
18,2,Specialisation,,btx,Detail_ Identifier_ Contact,,,,cor,Identifier_ Contact,1,,,
19,2,Composition,,btx,Detail_ Identifier_ Contact,,,,bus,Contact_ Phone,0,Contact Phone Number,【担当者電話番号】,担当者の電話番号。
20,2,Composition,,btx,Detail_ Identifier_ Contact,,,,bus,Contact_ Fax,0,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。
21,2,Composition,,btx,Detail_ Identifier_ Contact,,,,bus,Contact_ Email,0,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。
22,1,Class,,btx,Detail_ Identifier Reference,,,,,,0..*,"Identification for customer, vendor, or employee.",【CVE情報】,顧客、仕入先、従業員のための識別子。
23,2,Specialisation,,btx,Detail_ Identifier Reference,,,,cor,Identifier Reference,1,,,
24,1,Class,,btx,Header_ Identifier Reference,,,,,,0..*,"Identification for customer, vendor, or employee.",【CVE情報】,顧客、仕入先、従業員のための識別子。
25,2,Specialisation,,btx,Header_ Identifier Reference,,,,cor,Identifier Reference,1,,,
26,1,Class,,btx,Header_ XBRL,,,,,,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,【取引ヘッダXBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。
27,2,Specialisation,,btx,Header_ XBRL,,,,cor,XBRL,1,,,
28,1,Class,,btx,Header_ Tax,,,,,,0..*,Class for holding tax related information,【税情報】,税関連の情報のタプル。
29,2,Specialisation,,btx,Header_ Tax,,,,cor,Tax,1,,,
