value_domain_id,name,category,datatype,authority,source_bsm_id,source_semantic_path,definition,extensible,status,review_note
Account_Classification,Account Classification,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO17-03,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountClassification,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Account_Purpose,Account Purpose,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO17-06,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_PurposeofAccount,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Account_Type,Account Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO17-08,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountType,"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Accountant_Engagement_Type,Accountant Engagement Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BU26-02,$.cor_AccountingEntries.cor_EntityParty.cor_AssignedAccountant.bus_AccountantTypeofEngagement,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Accounting_Data_Type,Accounting Data Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO10-01,$.cor_AccountingEntries.cor_DocumentInformation.cor_DocumentType,"account: information to fill in a chart of accounts file.  
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger  
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated   
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] classs to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] class, these ""master file"" tax tables can be referenced. 
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.   
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.   
master_file: a collection of master files, such as the customer or inventory master file.   
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.   
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.   
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Accounting_Method,Accounting Method,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BU25-01 | CO17-10,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethod | $.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountingMethod,Shared Value Domain for the permitted values identified by this semantic value kind.,review,DEFINED,Consolidated from 2 previous occurrence/source-specific Value Domain definition(s).
Accounting_Purpose,Accounting Purpose,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BU25-03 | BU29-07 | CO14-11 | CO17-12,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodPurpose | $.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPurpose | $.cor_AccountingEntries.cor_EntityParty.cor_DefaultAccountingMethodPurpose | $.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountingMethodPurpose,Shared Value Domain for the permitted values identified by this semantic value kind.,review,DEFINED,Consolidated from 4 previous occurrence/source-specific Value Domain definition(s).
Address_Purpose,Address Purpose,shared_value_domain,String,XBRL GL Next,BU21-03,,Purpose discriminator for Party Address occurrences.,yes,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Adjustment_Type,Adjustment Type,shared_value_domain,Token,XBRL GL Next,,,Discriminator for allowance and charge Adjustment occurrences.,yes,MODEL_EXTENSION_REQUIRED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s). btx_AdjustmentType is used by v9/v10 selectors but no corresponding Attribute exists in the attached LHM reviewed.
Amount_Sign,Amount Sign,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO21-33,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_SignIndicationforAmount,Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit,review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Amount_Type,Amount Type,shared_value_domain,String,XBRL GL Next,BT02-05 | BT01-05,,Shared Value Domain for the permitted values identified by this semantic value kind.,yes,DEFINED,Consolidated from 2 previous occurrence/source-specific Value Domain definition(s).
Book_Tax_Difference_Type,Book/Tax Difference Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO22-21,$.cor_AccountingEntries.cor_EntryHeader.cor_TypeofDifferenceBetweenBookandTax,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
